"","RAZAO_SOCIAL","ENDERECO","BAIRRO","BANDEIRA","PRECO_VENDA","PRECO_COMPRA","MODALIDADE_DE_COMPRA","FORNECEDOR","DATA_COLETA","CIDADE","UF","COMBUSTIVEL"
"5019","Boa Viagem Comercio de Derivados de Petroleo Ltda","Avenida Anhanguera, 2075 Qd.a2  Lt.14","Setor Leste Universitário","RAIZEN",2.67,2.29,"CIF","-","14/09/2016","GOIANIA","GO","Etanol"
"5020","Posto Gerar Ltda","Avenida Anhanguera, 862 Qd. 218 Lt. 1","Jardim Novo Mundo","PETROBRAS DISTRIBUIDORA S.A.",2.67,NA,"-","-","14/09/2016","GOIANIA","GO","Etanol"
"5021","Carreteiro Derivados de Petroleo Ltda","Avenida Sao Francisco, 40","Setor Santa Genoveva","BRANCA",2.68,NA,"-","-","14/09/2016","GOIANIA","GO","Etanol"
"5022","J. C. Comercio de Derivados de Petroleo Ltda","Avenida Perimetral Norte, S/n Lote 03","Fazenda Caveiras","BRANCA",2.68,NA,"-","-","14/09/2016","GOIANIA","GO","Etanol"
"5023","Auto Posto Apollo Ltda.","Avenida Buenos Aires, 837 Qd 258, Lt 04","Jardim Novo Mundo","BRANCA",2.68,NA,"-","-","14/09/2016","GOIANIA","GO","Etanol"
"5024","C & C Comercio de Combustiveis Ltda","Avenida Independencia, 1577 Q.k  Lote 07","Setor Leste Vila Nova","ALESAT",2.689,NA,"-","-","14/09/2016","GOIANIA","GO","Etanol"
"5025","Aero Sete Auto Posto Ltda.","Avenida Vereador José Monteiro, 1854","Negrao de Lima","RAIZEN",2.69,NA,"-","-","14/09/2016","GOIANIA","GO","Etanol"
"5026","Ubraspetro Comércio de Derivados de Petróleo Ltda.","Avenida Presidente Kennedy, 646 Qd. 70 - Lts. 11/14","Vila São Judas Tadeu","BRANCA",2.69,NA,"-","-","14/09/2016","GOIANIA","GO","Etanol"
"5027","Posto Valencia Ltda","Avenida Perimetral Norte, 11.500 Qd 05, Lt 1 E","Loteamento Goiania 2","IPIRANGA",2.69,NA,"-","-","14/09/2016","GOIANIA","GO","Etanol"
"5028","L P Logistica de Comercio de Combustiveis - Eireli","Avenida Independencia, 2814 Qd e Lt-12/16","Setor Leste Vila Nova","CBPI",2.69,2.236,"CIF","-","14/09/2016","GOIANIA","GO","Etanol"
"5029","Posto T-sete Ltda","Avenida Castelo Branco, 6137","Setor - Oeste","RAIZEN",2.69,2.282,"CIF","-","14/09/2016","GOIANIA","GO","Etanol"
"5030","Posto Vila Rica Ltda","Avenida Anhanguera, 2235","V Bandeirantes","RAIZEN",2.69,2.223,"CIF","-","14/09/2016","GOIANIA","GO","Etanol"
"5031","Posto Dn Ltda","Avenida Vera Cruz, 822 Qd. 47 - Lt. 01a","Jardim Guanabara","RAIZEN",2.69,NA,"-","-","14/09/2016","GOIANIA","GO","Etanol"
"5032","Perimetral Derivados de Petroleo Ltda","Avenida Perimetral Norte, 1360 Quadra 75  Lote 1/29-e","Setor Capuava","BRANCA",2.69,NA,"-","-","14/09/2016","GOIANIA","GO","Etanol"
"5033","Auto Posto Reis Comercio de Combustiveis Ltda - Me","Avenida Anhanguera, 2587","Leste Universitário","ALESAT",2.699,NA,"-","-","14/09/2016","GOIANIA","GO","Etanol"
"5034","Posto Capim Dourado Ltda","Rodovia Br 153  Km 4, S/nº Qd C 26, Lotes 01 A 22","Jardim Goiás","RAIZEN",2.699,NA,"-","-","14/09/2016","GOIANIA","GO","Etanol"
"5035","Auto Posto Santa Luzia Ltda","Avenida Professor Venerando de Freitas Borges, 77 0","Santa Genoveva","PETROBRAS DISTRIBUIDORA S.A.",2.699,NA,"-","-","14/09/2016","GOIANIA","GO","Etanol"
"5036","Auto Posto Crimeia Ltda.","Avenida Goias, 4118","Setor Crimeia Oeste","BRANCA",2.699,NA,"-","-","14/09/2016","GOIANIA","GO","Etanol"
"5037","Auto Posto Moria Ltda","Avenida Anapolis, 1798 0","Vila Matilde","BRANCA",2.75,NA,"-","-","14/09/2016","GOIANIA","GO","Etanol"
"5038","Auto Posto Gedda Amendoeiras Ltda","Avenida Paulo Alves da Costa, 725 Qd 10 - Lt 09","Parque das Amendoeiras","PETROBRAS DISTRIBUIDORA S.A.",2.75,NA,"-","-","14/09/2016","GOIANIA","GO","Etanol"
"5039","Vw Comercio de Combustiveis Ltda","Avenida Rio Verde, 1020 Qd. 06 Lt. 19","Parque Amazônia","IPIRANGA",2.75,NA,"-","-","14/09/2016","GOIANIA","GO","Etanol"
"5040","Auto Posto Magalhaes Ltda","Avenida Marechal Rondon, 3460 Qd. D Lt. 25","Loteamento Panorama Parque","BRANCA",2.75,NA,"-","-","14/09/2016","GOIANIA","GO","Etanol"
"5041","Posto Aldeia Ltda","Avenida Vera Cruz, 2223 Qd 137 Lts 1,2 e 3","Jardim Guanabara","PETROBRAS DISTRIBUIDORA S.A.",2.77,2.279,"CIF","-","14/09/2016","GOIANIA","GO","Etanol"
"5042","Auto Posto Laurindo Ltda","Avenida Anapolis, 965 Quadra 01 Lote 20/22","Residencialsonho Dourado","ALESAT",2.79,2.359,"CIF","-","14/09/2016","GOIANIA","GO","Etanol"
"5043","Auto Posto Vip Ltda.","Rua Piaui, 559","Centro","BRANCA",2.429,NA,"-","-","14/09/2016","GOIATUBA","GO","Etanol"
"5044","Urzeda Mendoça & Alves Ltda","Avenida Clovis Rodrigo do Vale, 30","Vila Betania","BRANCA",2.429,NA,"-","-","14/09/2016","GOIATUBA","GO","Etanol"
"5045","Marcio de Souza Silva","Avenida Presidente Vargas, 190","Setor Central","BRANCA",2.46,NA,"-","-","14/09/2016","GOIATUBA","GO","Etanol"
"5046","Humberto Dias Borges e Cia Ltda","Avenida Clovis Rodrigo do Vale, 1755 (antiga Duque de Caxias)","Vila Esplanada","BRANCA",2.46,NA,"-","-","14/09/2016","GOIATUBA","GO","Etanol"
"5047","Auto Posto Scapim Ltda. - Me","Rua Minas Gerais, 549","Centro","BRANCA",2.48,NA,"-","-","14/09/2016","GOIATUBA","GO","Etanol"
"5048","Barros e Brito Ltda - Me","Avenida Presidente Vargas, 622","Centro","BRANCA",2.48,NA,"-","-","14/09/2016","GOIATUBA","GO","Etanol"
"5049","Auto Posto Sao Jose de Goiatuba Ltda","Avenida Presidente Vargas, 1357","Centro","BRANCA",2.49,NA,"-","-","14/09/2016","GOIATUBA","GO","Etanol"
"5050","Posto F.a.s. Ltda","Avenida Manoel Vitorino, 123","Vila Garcia","BRANCA",2.49,NA,"-","-","14/09/2016","GOIATUBA","GO","Etanol"
"5051","Kikuda & Kikuda Ltda.","Rua São Francisco, 444 0","Centro","PETROBRAS DISTRIBUIDORA S.A.",2.49,2.121,"CIF","-","14/09/2016","GOIATUBA","GO","Etanol"
"5052","Auto Posto Gonzaga & Moreira Ltda.","Av. Presidente Vargas, 341","Setor Imperial","IPIRANGA",2.699,NA,"-","-","14/09/2016","GOIATUBA","GO","Etanol"
"5053","Auto Posto J. Muricel Ltda","Avenida Itaruma, 1110 0","Novo Horizonte","BRANCA",2.299,NA,"-","-","14/09/2016","ITUMBIARA","GO","Etanol"
"5054","Auto Posto Modestão Ltda - Epp","Avenida Modesto de Carvalho, 1351","Novo Horizonte","BRANCA",2.39,NA,"-","-","14/09/2016","ITUMBIARA","GO","Etanol"
"5055","Posto Wf Comércio de Combustíveis Ltda","Avenida Afonso Pena, 300","Centro","BRANCA",2.39,NA,"-","-","14/09/2016","ITUMBIARA","GO","Etanol"
"5056","Pires e Vilela Ltda","Avenida Santos Dumont, 220","Setor Central","BRANCA",2.39,NA,"-","-","14/09/2016","ITUMBIARA","GO","Etanol"
"5057","R. B. Combustiveis Ltda","Avenida Santos Dumont, 9 A","Santos Dumont","BRANCA",2.39,NA,"-","-","14/09/2016","ITUMBIARA","GO","Etanol"
"5058","Lacerda Lacerda e Silva Ltda","Rua V - 15, 677","Cidade Jardim","BRANCA",2.39,NA,"-","-","14/09/2016","ITUMBIARA","GO","Etanol"
"5059","Auto Posto Mecamendes Ltda.","Rua   Panama, 1508","Social","BRANCA",2.39,NA,"-","-","14/09/2016","ITUMBIARA","GO","Etanol"
"5060","Auto Posto Afonso Pena Ltda","Avenida Afonso Pena, 604","Centro","IPIRANGA",2.39,1.979,"CIF","-","14/09/2016","ITUMBIARA","GO","Etanol"
"5061","R. B. Combustiveis Ltda","Avenida Osvaldo Cruz, 470","Setor Afonso Pena","BRANCA",2.39,NA,"-","-","14/09/2016","ITUMBIARA","GO","Etanol"
"5062","Piloto Comércio de Combustíveis Ltda.","Rodovia Br 452 - Km 11, S/n","Zona Rural","BRANCA",2.398,NA,"-","-","14/09/2016","ITUMBIARA","GO","Etanol"
"5063","Pires e Vilela Ltda","Rua Leopoldo de Bulhoes, 190","Setor Central","BRANCA",2.399,NA,"-","-","14/09/2016","ITUMBIARA","GO","Etanol"
"5064","Marcio de Souza Silva","Rua V 18, 45 Esq.av.dr.edson Rodrigues Rocha","Cidade Jardim","BRANCA",2.399,NA,"-","-","14/09/2016","ITUMBIARA","GO","Etanol"
"5065","Auto Posto Keops Ltda","Avenida Castelo Branco, 189","São João","BRANCA",2.49,NA,"-","-","14/09/2016","ITUMBIARA","GO","Etanol"
"5066","Pereira Poli e Guedes Ltda Me","Praca Praça da Bandeira, 232","Centro","IPIRANGA",2.49,NA,"-","-","14/09/2016","ITUMBIARA","GO","Etanol"
"5067","Posto Vera Cruz Ltda","Avenida Santos Dumont, 1374","Santos Dumont","PETROBRAS DISTRIBUIDORA S.A.",2.59,NA,"-","-","14/09/2016","ITUMBIARA","GO","Etanol"
"5068","Alfa Combustíveis Ltda","Via Expressa Julio Borges de Souza, 4320","Santa Rita","RAIZEN",2.649,NA,"-","-","14/09/2016","ITUMBIARA","GO","Etanol"
"5069","Auto Posto Caborna Ltda.","Via Expressa Mucio de Souza Rezende, 4185","Setor Santa Rita","IPIRANGA",2.679,NA,"-","-","14/09/2016","ITUMBIARA","GO","Etanol"
"5070","Auto Posto Delta Ltda","Rua Rio Verde, 1101","Sta Maria","BRANCA",2.62,NA,"-","-","13/09/2016","JATAI","GO","Etanol"
"5071","Marques e Toledo Ltda.","Avenida 31 de Maio, 154","Epaminondas","BRANCA",2.64,NA,"-","-","13/09/2016","JATAI","GO","Etanol"
"5072","Auto Posto Comercio de Combustiveis Liberdade Ltda","Rua Tocantins, 503","Setor Epaminondas Ii","BRANCA",2.65,NA,"-","-","13/09/2016","JATAI","GO","Etanol"
"5073","Auto Posto Masut Iii Ltda","Avenida Brasil, 674","Setor Central","BRANCA",2.67,NA,"-","-","13/09/2016","JATAI","GO","Etanol"
"5074","Gabriel Comercio de Combustiveis Ltda","Avenida Goias, 2929","Jardim Rio Claro","RAIZEN",2.68,NA,"-","-","13/09/2016","JATAI","GO","Etanol"
"5075","Alvaro Sterchile e Cia Ltda","Avenida   31 de Maio, 895","Epaminondas","RAIZEN",2.68,NA,"-","-","13/09/2016","JATAI","GO","Etanol"
"5076","Comercial de Combustiveis Freitas Toledo Ltda","Rua Riachuelo Quadra 03 Lotes 05, 06, 07, S/n","Divino Esp. Santo","BRANCA",2.68,NA,"-","-","13/09/2016","JATAI","GO","Etanol"
"5077","Gazoluse Derivados de Petroleo Ltda","Avenida Goias, 1176","Centro","BRANCA",2.69,NA,"-","-","13/09/2016","JATAI","GO","Etanol"
"5078","Posto Rio Claro de Comb. Ltda","Rua Pio Xii, 40","Centro","PETROBRAS DISTRIBUIDORA S.A.",2.72,NA,"-","-","13/09/2016","JATAI","GO","Etanol"
"5079","Posto Trevo Jatai Ltda","Rodovia Br 364 C/ Br 060, S/n","Parque Industrial","IPIRANGA",2.739,NA,"-","-","13/09/2016","JATAI","GO","Etanol"
"5080","Comercial Maggioni de Combustíveis Ltda","Rua Rio Verde, 2105 0","Samuel Grahan","PETROBRAS DISTRIBUIDORA S.A.",2.79,NA,"-","-","13/09/2016","JATAI","GO","Etanol"
"5081","Comércio de Combustíveis Sousa Torres Ltda","Avenida Goias, 3156","Jardim Rio Claro","PETROBRAS DISTRIBUIDORA S.A.",2.847,NA,"-","-","13/09/2016","JATAI","GO","Etanol"
"5082","Comércio de Combustíveis Sousa Torres Ltda","Avenida Perimetral, 455","Centro","PETROBRAS DISTRIBUIDORA S.A.",2.847,NA,"-","-","13/09/2016","JATAI","GO","Etanol"
"5083","Sucal Combustiveis Ltda","Rodovia Br 364, S/n Km 198","Zona Rural","BRANCA",2.99,2.305,"CIF","PETROMAIS","13/09/2016","JATAI","GO","Etanol"
"5084","D¿terra Comércio de Derivados de Petróleo Ltda.","Rua 15 A, S/n Praca do Santissimo Sacramento","Vila Juracy","BRANCA",2.48,NA,"-","-","13/09/2016","LUZIANIA","GO","Etanol"
"5085","Posto Santa Luzia Ltda","Rua Sebastiao Elias, 28","Centro","PETROBRAS DISTRIBUIDORA S.A.",2.49,NA,"-","-","13/09/2016","LUZIANIA","GO","Etanol"
"5086","Posto Sertanejo Ltda - Me","Avenida Santa  Maria, S/n Qd 77 / Lt 16","Setor Fumal","PETROBRAS DISTRIBUIDORA S.A.",2.52,NA,"-","-","13/09/2016","LUZIANIA","GO","Etanol"
"5087","Auto Posto M Penna Ltda","Quadra 119, S/n Lote 09 e 10","Parque Estrela Dalva Ix","BRANCA",2.52,NA,"-","-","13/09/2016","LUZIANIA","GO","Etanol"
"5088","Auto Posto Jardim Inga Ltda","Avenida Prefeito José Rodrigues dos Reis, S/n Qd. 58 Lotes 01/05","Jardim Ingá","BRANCA",2.53,2.075,"CIF","PETROMAIS","13/09/2016","LUZIANIA","GO","Etanol"
"5089","Machado e Maximo Ltda","Rodovia Br-040, S/n Km21","Parque Santa Fe","PETROBRAS DISTRIBUIDORA S.A.",2.55,NA,"-","-","13/09/2016","LUZIANIA","GO","Etanol"
"5090","Posto Serra do Lago Ltda.","Avenida Juventino Rodrigues, S/n Qd. 13 Lotes 14/20","Vila Juracy","PETROBRAS DISTRIBUIDORA S.A.",2.58,NA,"-","-","13/09/2016","LUZIANIA","GO","Etanol"
"5091","Auto Posto Rio Grande Ltda","Avenida Alfredo Nasser, S/n Quadra 130, Lotes 1/2","Parque Estrela Dalva Ii","RAIZEN",2.58,NA,"-","-","13/09/2016","LUZIANIA","GO","Etanol"
"5092","Auto Posto G - 3 Ltda - Epp","Avenida Alfredo Nasser, Sn Quadra176                 Lote  01","Parque Estrela Dalva Ii","PETROBRAS DISTRIBUIDORA S.A.",2.59,NA,"-","-","13/09/2016","LUZIANIA","GO","Etanol"
"5093","Araujo e Portela Ltda","Avenida Joventino Rodrigues, S/n Lote 01","Centro","PETROBRAS DISTRIBUIDORA S.A.",2.65,NA,"-","-","13/09/2016","LUZIANIA","GO","Etanol"
"5094","Auto Posto Minas Goias Ltda","Avenida Santa Maria, S/n Quadra15                  Lote  06/08","Setor Aeroporto","PETROBRAS DISTRIBUIDORA S.A.",2.659,2.305,"CIF","-","13/09/2016","LUZIANIA","GO","Etanol"
"5095","Auto Posto Natural Ltda.","Av Sara Kubitscheck, S/n Qd 57 Lt 02","Parque Jk","ALESAT",2.689,NA,"-","-","13/09/2016","LUZIANIA","GO","Etanol"
"5096","Fort Auto Center Ltda","Localidade 4ª Avenida, S/n Esq. C/ Rua 11","Centro","RAIZEN",2.54,NA,"-","-","13/09/2016","MINEIROS","GO","Etanol"
"5097","Posto R7 Ltda","Avenida Parque Nacional das Emas, S/n Quadra 88 Lotes 13/18","Boa Vista","PETROBRAS DISTRIBUIDORA S.A.",2.59,NA,"-","-","13/09/2016","MINEIROS","GO","Etanol"
"5098","Carvel Auto Posto Ltda","Avenida Antonio C.paniago, 75","Vila Cardoso","IPIRANGA",2.67,NA,"-","-","13/09/2016","MINEIROS","GO","Etanol"
"5099","Auto Posto Boa Vista Ltda - Me","Avenida Maria Eulalia de Souza, Esq. Com Av. Zeca Alfaiate, S/n Qd. 15 Lt. 07","Setor Boa Vista","BRANCA",2.67,NA,"-","-","13/09/2016","MINEIROS","GO","Etanol"
"5100","H Brandao & Cia Ltda","Avenida Antonio Carlos Paniago, S/n 0","Centro","BRANCA",2.69,NA,"-","-","13/09/2016","MINEIROS","GO","Etanol"
"5101","Auto Posto Mineiros Ltda - Epp","Avenida Ino de Rezende, S/n Quadra 12 - Lote 11-12 e 13","Setor Cruvinel","BRANCA",2.76,NA,"-","-","13/09/2016","MINEIROS","GO","Etanol"
"5102","Posto Coqueiros Ltda. Epp","Av. Ino Rezende, S/n Qd 04 Lts 1 A 8 e 19 e 20","Av. Ino Rezende","BRANCA",2.76,NA,"-","-","13/09/2016","MINEIROS","GO","Etanol"
"5103","Posto Pelicano Ltda","Avenida Professor Jose do Nascimento, 277","Setor Oeste","ALESAT",2.58,2.02,"CIF","-","13/09/2016","MORRINHOS","GO","Etanol"
"5104","Renato Miguel Romano e Cia Ltda","Avenida Senador Hermenegildo, 1208","Centro","BRANCA",2.58,NA,"-","-","13/09/2016","MORRINHOS","GO","Etanol"
"5105","Auto Posto Mauro M.junior Ltda","Praca Nossa Senhora do Carmo, 295","Centro","BRANCA",2.58,NA,"-","-","13/09/2016","MORRINHOS","GO","Etanol"
"5106","Auto Posto Três Pontos & Acácia Ltda.","Avenida Coronel Fernando Barbosa, 111 A Qd. Lote 14","Vila Sao Pedro","BRANCA",2.58,NA,"-","-","13/09/2016","MORRINHOS","GO","Etanol"
"5107","Auto Posto Lambari Ltda","Avenida Couto Magalhaes, 528","Centro","BRANCA",2.589,NA,"-","-","13/09/2016","MORRINHOS","GO","Etanol"
"5108","Cooperativa Mista dos Produtores de Leite de Morrinhos","Avenida Engenheiro Flávio Cascão, 276 Qd. 06, Lotes 12, 13 e 14","Setor Oeste","BRANCA",2.589,NA,"-","-","13/09/2016","MORRINHOS","GO","Etanol"
"5109","L G Auto Posto Ltda.","Avenida B, S/n Esquina C/praça Lions","Vila Nunes","BRANCA",2.59,NA,"-","-","14/09/2016","MORRINHOS","GO","Etanol"
"5110","Auto Posto Conquista Ltda","Rua Major Evaristo Frauzino, 259","Centro","BRANCA",2.59,NA,"-","-","13/09/2016","MORRINHOS","GO","Etanol"
"5111","Auto Posto Genin Ltda","Rua das Bananeiras Frente A Rod. Go 213, S/n Qd Ai Lt.02","Morro da Saudade","BRANCA",2.59,NA,"-","-","13/09/2016","MORRINHOS","GO","Etanol"
"5112","Gil Auto Posto Ltda.","Rua Amazonas, 500","Setor Noroeste","BRANCA",2.599,NA,"-","-","13/09/2016","MORRINHOS","GO","Etanol"
"5113","Auto Posto Andrey Ltda","Avenida Cel Fernando Barbosa, Sn Esq C/ Rua 202","Setor Aeroporto","PETROBRAS DISTRIBUIDORA S.A.",2.599,NA,"-","-","13/09/2016","MORRINHOS","GO","Etanol"
"5114","J.m. da Silva & Filhos Ltda","Av. Brasilia, 359 Esq C/ Avenida Federal - Qd 1 Lt 0 Sl. 1","Vila Cavalcante","ZEMA",2.37,NA,"-","-","13/09/2016","PORANGATU","GO","Etanol"
"5115","W e F Petróleo e Derivados Ltda.","Rua 9, S/nº Esq. C/rua 5","Planalto","BRANCA",2.379,NA,"-","-","13/09/2016","PORANGATU","GO","Etanol"
"5116","M. Gomes Filho - Epp","Avenida Adelino Americo de Azevedo, 509","Sol Nascente","IPIRANGA",2.449,2.324,"CIF","-","13/09/2016","PORANGATU","GO","Etanol"
"5117","M2 Comércio Varejista de Derivados de Petróleo Ltda.","Rua 02, S/n Quadra 13 - Lotes 01,02 e 03","Setor Bom Jesus","PETROBRAS DISTRIBUIDORA S.A.",2.49,NA,"-","-","13/09/2016","PORANGATU","GO","Etanol"
"5118","J.m. da Silva & Filhos Ltda","Avenida Adelino Americo Azevedo, 147","Centro","PETROBRAS DISTRIBUIDORA S.A.",2.58,NA,"-","-","13/09/2016","PORANGATU","GO","Etanol"
"5119","Resende e Resende Comercio Varejista de Derivados de Petroleo Ltda","Rua 02, 32","Setor Central","BRANCA",2.59,NA,"-","-","13/09/2016","PORANGATU","GO","Etanol"
"5120","M5 Comercio Varejista de Combustiveis Para Veiculos Automotores Ltda","Avenida Adelino Americo Azevedo, S/n Qd 27 Lt 02/03","Setor Leste","PETROBRAS DISTRIBUIDORA S.A.",2.59,NA,"-","-","13/09/2016","PORANGATU","GO","Etanol"
"5121","Centro Comercial Campestre e Servicos Ltda","Rodovia Br 60, S/n Km 388","Perimetro Urbano","PETROBRAS DISTRIBUIDORA S.A.",2.54,NA,"-","-","13/09/2016","RIO VERDE","GO","Etanol"
"5122","Castelão Comércio de Petróleo Ltda","Rodovia Br 452, S/n Km 49","Lagoa do Bauzinho / Distrito de Rio Verde","PETROBRAS DISTRIBUIDORA S.A.",2.59,NA,"-","-","13/09/2016","RIO VERDE","GO","Etanol"
"5123","Decio L13 Limitada","Rua Gumercindo Ferreira, 60","Centro","PETROBRAS DISTRIBUIDORA S.A.",2.59,NA,"-","-","13/09/2016","RIO VERDE","GO","Etanol"
"5124","Ircom Comercio de Derivados de Petroleo Ltda","Avenida Lazinho Pimenta, Esq. Av. Beija-flor, S/n Qd. 23 Lt. 17","Dimpe","BRANCA",2.63,2.229,"CIF","TOTAL","13/09/2016","RIO VERDE","GO","Etanol"
"5125","Zaltu e Barros Ltda","Rua Professor Joaquim Pedro, 597","Centro","PETROBRAS DISTRIBUIDORA S.A.",2.65,NA,"-","-","13/09/2016","RIO VERDE","GO","Etanol"
"5126","Posto de Combustiveis e Lubrificantes Avenida Ltda Epp","Av.presidente Vargas, 1.233, S/n","Jardim Goiás","BRANCA",2.67,NA,"-","-","13/09/2016","RIO VERDE","GO","Etanol"
"5127","Guimaraes Borges Comercio de Deriv. de Petroleo Ltda.","Rua 12, 1842 Qd. 12 Lt. 17 e 18","Jardim Goiás","BRANCA",2.67,NA,"-","-","13/09/2016","RIO VERDE","GO","Etanol"
"5128","Posto Barrinhas Ltda","Avenida Jeronimo Martins, 04","Parque Bandeirantes","PETROBRAS DISTRIBUIDORA S.A.",2.68,NA,"-","-","13/09/2016","RIO VERDE","GO","Etanol"
"5129","São Paulo Comércio e Derivados de Petróleo Ltda.","Rua 20 Esq. 72, 16 Quara 13, Lote 16","Bairro Popular","PETROBRAS DISTRIBUIDORA S.A.",2.719,2.339,"CIF","-","13/09/2016","RIO VERDE","GO","Etanol"
"5130","Posto Campeão da Avenida Ltda.","Avenida Jose Walter, 530 Qd. 49 Lt 01","Setor Morada do Sol","BRANCA",2.73,NA,"-","-","13/09/2016","RIO VERDE","GO","Etanol"
"5131","Novo Rio Comércio de Combustiveis Ltda","Avenida Universitária, 168 Qd.08 Lt.01","Residencial Por do Sol","BRANCA",2.73,NA,"-","-","13/09/2016","RIO VERDE","GO","Etanol"
"5132","R C J Combustiveis e Deriivado de Petroleo Ltda","Avenida Presidente Vargas, 3596 0","Vila Maria","BRANCA",2.75,NA,"-","-","13/09/2016","RIO VERDE","GO","Etanol"
"5133","Auto Posto Visao Ltda","Praca Joaquim da Silveira Leao., 536","Centro.","RAIZEN",2.75,NA,"-","-","13/09/2016","RIO VERDE","GO","Etanol"
"5134","Posto Abobrão Rio Verde Ltda.","Avenida Pauzanes de Carvalho, S/n Qd.25 - Lts 04 A 07 e 09 A 11","Setor Pauzanes","PETROBRAS DISTRIBUIDORA S.A.",2.75,NA,"-","-","13/09/2016","RIO VERDE","GO","Etanol"
"5135","Aut Posto G.h.m Ltda","Rua Rui Barbosa, 953 0","Centro","PETROBRAS DISTRIBUIDORA S.A.",2.75,NA,"-","-","13/09/2016","RIO VERDE","GO","Etanol"
"5136","Auto Posto Araujo Cunha Ltda","Avenida Brasília, 460","Parque Bandeirantes","IPIRANGA",2.76,NA,"-","-","13/09/2016","RIO VERDE","GO","Etanol"
"5137","Auto Posto Dias Ltda","Rodovia Go 060 Com Rua - A, S/n Qd 01 Lt 01/03","Setor Oeste","ALESAT",2.55,NA,"-","-","13/09/2016","TRINDADE","GO","Etanol"
"5138","Gasox Comércio de Comb. e Deriv. de Petróleo Ltda","Avenida Santa Maria, 270 Qd. 05 - Lote 3/4","Setor Sul","BRANCA",2.59,NA,"-","-","13/09/2016","TRINDADE","GO","Etanol"
"5139","Auto Posto Kurujao Ltda","Avenida Jk, 2222","Setor Oeste","ALESAT",2.59,2.346,"CIF","-","13/09/2016","TRINDADE","GO","Etanol"
"5140","Auto Posto Via Sacra Ltda.","Rua Jose Braz,, 176 Qd. 09 - Lote 31/32","Residencial Garavelo Ii","ALESAT",2.59,NA,"-","-","13/09/2016","TRINDADE","GO","Etanol"
"5141","Auto Posto Boiadeiro Ltda.","Rua Filostro Machado, 31 Quadra 01 Lote 10","Residencial Araguaia","ALESAT",2.59,NA,"-","-","13/09/2016","TRINDADE","GO","Etanol"
"5142","Auto Posto Trindade Ltda","Avenida Raimundo de Aquino, 350","Vila João Braz","ALE COMBUSTÍVEIS",2.59,NA,"-","-","13/09/2016","TRINDADE","GO","Etanol"
"5143","Posto Canarinho Ltda","Rua Aleixo Antonio Alves, 822 0","Vila Carvelo","BRANCA",2.68,NA,"-","-","13/09/2016","TRINDADE","GO","Etanol"
"5144","Auto Posto Valparaiso  Ltda","Trevo 2 Etapa Valparaiso I, S/n 0","Valparaiso I","PETROBRAS DISTRIBUIDORA S.A.",2.399,NA,"-","-","13/09/2016","VALPARAISO DE GOIAS","GO","Etanol"
"5145","Auto Posto Campos  & Mesquita  Ltda.","Rua 01, S/n Quadra 60,  Lote 13","Novo Jardim Oriente","BRANCA",2.47,NA,"-","-","13/09/2016","VALPARAISO DE GOIAS","GO","Etanol"
"5146","L. R. I. Com. de Prod. de Derivados de Petroleo Ltda","Rodovia Br 040, S/n Km 12 Qd. 01 Lt. 01 Gleba F","Parque Esplanada Iii","RAIZEN",2.47,2.32,"CIF","-","13/09/2016","VALPARAISO DE GOIAS","GO","Etanol"
"5147","Garzzo Comercio de Combustiveis e Derivados Ltda","Avenida Marginal, 56 Lotes 01,02,03","Parque Industrial Vetorasso","RAIZEN",2.47,NA,"-","-","13/09/2016","VALPARAISO DE GOIAS","GO","Etanol"
"5148","Auto Shopping Derivados de Petroleo Ltda","Localidade Quadra 04, S/n Lotes 08 A 12 e 15 A 19","Parque Marajo","IPIRANGA",2.47,NA,"-","-","13/09/2016","VALPARAISO DE GOIAS","GO","Etanol"
"5149","Auto Shopping Derivados de Petroleo Ltda","Quadra 134, S/n Lote 2,3,4","Jardim Ceu Azul","IPIRANGA",2.489,NA,"-","-","13/09/2016","VALPARAISO DE GOIAS","GO","Etanol"
"5150","Valba - Comércio de Combustíbeis Ltda","Avenida Marginal, 45 3","Parque Esplanada Iii","CBPI",2.54,NA,"-","-","13/09/2016","VALPARAISO DE GOIAS","GO","Etanol"
"5151","Posto Antares Ltda","Rodovia Br 040, S/n Km 11 Lote 08/09/10","Valparaiso Ii","PETROBRAS DISTRIBUIDORA S.A.",2.69,NA,"-","-","13/09/2016","VALPARAISO DE GOIAS","GO","Etanol"
"5705","Posto Magnolia Ltda","Rodovia Br 010, 15 Km 1407","Ladeira Vermelha","BRANCA",3.249,NA,"-","-","12/09/2016","ACAILANDIA","MA","Etanol"
"5706","Carreteiro Derivados de Petroleo Ltda","Rodovia Br 010 Belem Brasilia, S/n Km 1415","Acailândia","BRANCA",3.29,NA,"-","-","12/09/2016","ACAILANDIA","MA","Etanol"
"5707","J e J Comércio e Representações Ltda","Rua Bonaire, 2211","Centro","BRANCA",3.299,2.648,"CIF","ALE COMBUSTÍVEIS","12/09/2016","ACAILANDIA","MA","Etanol"
"5708","Posto Magnolia Ltda","Rodovia Br 010, S/n Km 1415","Centro","PETROBRAS DISTRIBUIDORA S.A.",3.35,NA,"-","-","12/09/2016","ACAILANDIA","MA","Etanol"
